Red_Hero_Attempts_window_1,Red_Hero_Attempts_window_2,Red_Hero_Attempts_window_3,Red_Hero_Landed_window_1,Red_Hero_Landed_window_2,Red_Hero_Landed_window_3,Red_Hero_Time_window_1,Red_Hero_Time_window_2,Red_Hero_Time_window_3,Red_Villain_Attempts_window_1,Red_Villain_Attempts_window_2,Red_Villain_Attempts_window_3,Red_Villain_Landed_window_1,Red_Villain_Landed_window_2,Red_Villain_Landed_window_3,Red_Villain_Time_window_1,Red_Villain_Time_window_2,Red_Villain_Time_window_3,Blue_Hero_Attempts_window_1,Blue_Hero_Attempts_window_2,Blue_Hero_Attempts_window_3,Blue_Hero_Landed_window_1,Blue_Hero_Landed_window_2,Blue_Hero_Landed_window_3,Blue_Hero_Time_window_1,Blue_Hero_Time_window_2,Blue_Hero_Time_window_3,Blue_Villain_Attempts_window_1,Blue_Villain_Attempts_window_2,Blue_Villain_Attempts_window_3,Blue_Villain_Landed_window_1,Blue_Villain_Landed_window_2,Blue_Villain_Landed_window_3,Blue_Villain_Time_window_1,Blue_Villain_Time_window_2,Blue_Villain_Time_window_3,ExperienceDifference,Result
647.2924315619968,650.3752475247525,661.827750410509,317.31175523349435,317.9875247524752,323.3676518883416,1837.666344605475,1848.810099009901,1881.4688013136288,636.1677938808374,630.890099009901,635.6417077175698,306.05410628019325,300.7821782178218,300.5476190476191,1809.0979066022544,1809.9780198019803,1831.0128078817734,624.7311631309436,647.0927810077519,649.366372053872,307.8489392831017,317.4425872093023,318.20454545454544,1745.4045354791515,1794.2105135658915,1800.6946548821547,587.1367959034382,596.8095930232558,597.6561447811448,281.51316752011707,281.27470930232556,280.0833333333333,1715.00950987564,1743.2936046511627,1746.4050925925924,0,Loss
513.0,650.3752475247525,661.827750410509,310.0,317.9875247524752,323.3676518883416,0.0,1848.810099009901,1881.4688013136288,496.0,630.890099009901,635.6417077175698,165.0,300.7821782178218,300.5476190476191,0.0,1809.9780198019803,1831.0128078817734,624.7311631309436,647.0927810077519,649.366372053872,307.8489392831017,317.4425872093023,318.20454545454544,1745.4045354791515,1794.2105135658915,1800.6946548821547,587.1367959034382,596.8095930232558,597.6561447811448,281.51316752011707,281.27470930232556,280.0833333333333,1715.00950987564,1743.2936046511627,1746.4050925925924,1,Loss
455.0,439.0,661.827750410509,247.0,223.0,323.3676518883416,1361.0,1291.0,1881.4688013136288,246.0,238.0,635.6417077175698,172.0,154.5,300.5476190476191,637.0,758.0,1831.0128078817734,374.0,647.0927810077519,649.366372053872,167.0,317.4425872093023,318.20454545454544,0.0,1794.2105135658915,1800.6946548821547,584.0,596.8095930232558,597.6561447811448,159.0,281.27470930232556,280.0833333333333,0.0,1743.2936046511627,1746.4050925925924,1,Win
1286.0,650.3752475247525,661.827750410509,675.0,317.9875247524752,323.3676518883416,2758.0,1848.810099009901,1881.4688013136288,720.0,630.890099009901,635.6417077175698,199.0,300.7821782178218,300.5476190476191,2363.0,1809.9780198019803,1831.0128078817734,624.7311631309436,647.0927810077519,649.366372053872,307.8489392831017,317.4425872093023,318.20454545454544,1745.4045354791515,1794.2105135658915,1800.6946548821547,587.1367959034382,596.8095930232558,597.6561447811448,281.51316752011707,281.27470930232556,280.0833333333333,1715.00950987564,1743.2936046511627,1746.4050925925924,1,Win
296.0,432.5,449.6666666666667,147.0,224.0,230.66666666666666,846.0,1226.0,1605.6666666666667,245.0,435.0,534.0,105.0,159.5,207.33333333333334,828.0,1083.5,1646.6666666666667,1023.0,764.5,649.366372053872,359.0,315.5,318.20454545454544,2398.0,1199.0,1800.6946548821547,1127.0,692.0,597.6561447811448,498.0,306.0,280.0833333333333,2777.0,1388.5,1746.4050925925924,1,Win
647.2924315619968,650.3752475247525,661.827750410509,317.31175523349435,317.9875247524752,323.3676518883416,1837.666344605475,1848.810099009901,1881.4688013136288,636.1677938808374,630.890099009901,635.6417077175698,306.05410628019325,300.7821782178218,300.5476190476191,1809.0979066022544,1809.9780198019803,1831.0128078817734,624.7311631309436,647.0927810077519,649.366372053872,307.8489392831017,317.4425872093023,318.20454545454544,1745.4045354791515,1794.2105135658915,1800.6946548821547,587.1367959034382,596.8095930232558,597.6561447811448,281.51316752011707,281.27470930232556,280.0833333333333,1715.00950987564,1743.2936046511627,1746.4050925925924,0,Win
468.0,256.5,661.827750410509,237.0,131.5,323.3676518883416,3038.0,1519.0,1881.4688013136288,299.0,158.5,635.6417077175698,155.0,82.5,300.5476190476191,1764.0,882.0,1831.0128078817734,1070.0,647.0927810077519,649.366372053872,569.0,317.4425872093023,318.20454545454544,2740.0,1794.2105135658915,1800.6946548821547,756.0,596.8095930232558,597.6561447811448,452.0,281.27470930232556,280.0833333333333,2296.0,1743.2936046511627,1746.4050925925924,1,Loss
647.2924315619968,650.3752475247525,661.827750410509,317.31175523349435,317.9875247524752,323.3676518883416,1837.666344605475,1848.810099009901,1881.4688013136288,636.1677938808374,630.890099009901,635.6417077175698,306.05410628019325,300.7821782178218,300.5476190476191,1809.0979066022544,1809.9780198019803,1831.0128078817734,1509.0,1297.5,649.366372053872,513.0,548.0,318.20454545454544,2714.0,2642.0,1800.6946548821547,1062.0,1086.0,597.6561447811448,395.0,404.0,280.0833333333333,2702.0,2537.0,1746.4050925925924,-2,
1179.0,650.3752475247525,661.827750410509,675.0,317.9875247524752,323.3676518883416,2114.0,1848.810099009901,1881.4688013136288,1363.0,630.890099009901,635.6417077175698,464.0,300.7821782178218,300.5476190476191,2609.0,1809.9780198019803,1831.0128078817734,747.0,647.0927810077519,649.366372053872,398.0,317.4425872093023,318.20454545454544,1169.0,1794.2105135658915,1800.6946548821547,780.0,596.8095930232558,597.6561447811448,413.0,281.27470930232556,280.0833333333333,1052.0,1743.2936046511627,1746.4050925925924,0,Win
30.0,650.3752475247525,661.827750410509,6.0,317.9875247524752,323.3676518883416,120.0,1848.810099009901,1881.4688013136288,21.0,630.890099009901,635.6417077175698,20.0,300.7821782178218,300.5476190476191,120.0,1809.9780198019803,1831.0128078817734,542.0,338.5,649.366372053872,216.0,137.5,318.20454545454544,1883.0,1019.0,1800.6946548821547,789.0,407.5,597.6561447811448,399.0,211.5,280.0833333333333,3013.0,1576.5,1746.4050925925924,-1,Win
